revision;pairOfImportedPackages;pairOfImportedPackageAndMember;pairOfImportedPackageAndMemberUsed;pairOfImportedSameMember;totalInsertedImports
/experiment/projects/dropwizard-metrics/revisions/rev_51d8ab9_e340b00/rev_51d8ab9-e340b00.revisions;0;0;0;0;0
/experiment/projects/dropwizard-metrics/revisions/rev_85a7a4f_08a8e92/rev_85a7a4f-08a8e92.revisions;0;0;0;0;0
/experiment/projects/dropwizard-metrics/revisions/rev_e958d8d_08a8e92/rev_e958d8d-08a8e92.revisions;0;0;0;0;0
/experiment/projects/dropwizard-metrics/revisions/rev_a3fc377_844c290/rev_a3fc377-844c290.revisions;0;0;0;0;0
/experiment/projects/dropwizard-metrics/revisions/rev_7b64036_35e62ff/rev_7b64036-35e62ff.revisions;0;0;0;0;0
/experiment/projects/dropwizard-metrics/revisions/rev_2a6fa77_35e62ff/rev_2a6fa77-35e62ff.revisions;0;0;0;0;0
/experiment/projects/dropwizard-metrics/revisions/rev_81474c3_668156c/rev_81474c3-668156c.revisions;0;0;0;0;0
/experiment/projects/dropwizard-metrics/revisions/rev_9ab62e5_606249b/rev_9ab62e5-606249b.revisions;0;0;0;0;0
/experiment/projects/dropwizard-metrics/revisions/rev_953a93b_e9fc417/rev_953a93b-e9fc417.revisions;0;0;0;0;0
/experiment/projects/dropwizard-metrics/revisions/rev_2a97cc8_e9fc417/rev_2a97cc8-e9fc417.revisions;0;0;0;0;0
/experiment/projects/dropwizard-metrics/revisions/rev_b428d24_5bb0225/rev_b428d24-5bb0225.revisions;0;0;0;0;0
/experiment/projects/dropwizard-metrics/revisions/rev_c12e978_90af224/rev_c12e978-90af224.revisions;0;0;0;0;0
/experiment/projects/dropwizard-metrics/revisions/rev_9d329ea_dc4d0e2/rev_9d329ea-dc4d0e2.revisions;0;0;0;0;0
/experiment/projects/dropwizard-metrics/revisions/rev_bf6d1d2_f4dcce9/rev_bf6d1d2-f4dcce9.revisions;0;0;0;0;0
/experiment/projects/dropwizard-metrics/revisions/rev_572ef9f_42cf6f0/rev_572ef9f-42cf6f0.revisions;0;0;0;0;0
/experiment/projects/dropwizard-metrics/revisions/rev_4a404ea_12ec90d/rev_4a404ea-12ec90d.revisions;0;0;0;0;0
/experiment/projects/dropwizard-metrics/revisions/rev_847edcf_00e0ba3/rev_847edcf-00e0ba3.revisions;0;0;0;0;0
/experiment/projects/dropwizard-metrics/revisions/rev_f7101d4_00e0ba3/rev_f7101d4-00e0ba3.revisions;0;0;0;0;0
/experiment/projects/dropwizard-metrics/revisions/rev_0a29dec_200249f/rev_0a29dec-200249f.revisions;0;0;0;0;0
/experiment/projects/dropwizard-metrics/revisions/rev_81f8f16_63f0142/rev_81f8f16-63f0142.revisions;0;0;0;0;0
/experiment/projects/dropwizard-metrics/revisions/rev_b9b3ceb_92bf65a/rev_b9b3ceb-92bf65a.revisions;0;0;0;0;0
/experiment/projects/dropwizard-metrics/revisions/rev_1905711_1bbd02d/rev_1905711-1bbd02d.revisions;0;0;0;0;7
/experiment/projects/dropwizard-metrics/revisions/rev_a217de8_bc677bb/rev_a217de8-bc677bb.revisions;0;0;0;0;27
/experiment/projects/dropwizard-metrics/revisions/rev_91c5e89_948873e/rev_91c5e89-948873e.revisions;0;0;0;0;27
/experiment/projects/dropwizard-metrics/revisions/rev_314b4f9_501ed4e/rev_314b4f9-501ed4e.revisions;0;0;0;0;0
/experiment/projects/dropwizard-metrics/revisions/rev_9c17857_4602ef9/rev_9c17857-4602ef9.revisions;0;0;0;0;0
/experiment/projects/dropwizard-metrics/revisions/rev_bd1c495_7a0aa20/rev_bd1c495-7a0aa20.revisions;0;0;0;0;32
/experiment/projects/dropwizard-metrics/revisions/rev_1293351_c58a5c9/rev_1293351-c58a5c9.revisions;0;0;0;0;27
/experiment/projects/dropwizard-metrics/revisions/rev_45f7636_18fe9d7/rev_45f7636-18fe9d7.revisions;0;0;0;0;0
/experiment/projects/dropwizard-metrics/revisions/rev_bc3c95d_33de206/rev_bc3c95d-33de206.revisions;0;0;0;0;19
/experiment/projects/dropwizard-metrics/revisions/rev_33de206_c8f2ea9/rev_33de206-c8f2ea9.revisions;0;0;0;0;0
/experiment/projects/dropwizard-metrics/revisions/rev_16781c2_000fb8c/rev_16781c2-000fb8c.revisions;0;0;0;0;3
/experiment/projects/dropwizard-metrics/revisions/rev_77e55df_945655d/rev_77e55df-945655d.revisions;0;0;0;0;15
/experiment/projects/dropwizard-metrics/revisions/rev_a26daad_a398eda/rev_a26daad-a398eda.revisions;0;0;0;0;0
/experiment/projects/dropwizard-metrics/revisions/rev_c94c0a3_df0566c/rev_c94c0a3-df0566c.revisions;0;0;0;0;0
/experiment/projects/dropwizard-metrics/revisions/rev_cfe044d_e8744da/rev_cfe044d-e8744da.revisions;0;0;0;0;0
/experiment/projects/dropwizard-metrics/revisions/rev_decf94b_7ab8fa4/rev_decf94b-7ab8fa4.revisions;0;0;0;0;7
/experiment/projects/dropwizard-metrics/revisions/rev_edccd0b_881b62c/rev_edccd0b-881b62c.revisions;0;0;0;0;0
/experiment/projects/dropwizard-metrics/revisions/rev_b41f46c_74a744e/rev_b41f46c-74a744e.revisions;0;0;0;0;0
/experiment/projects/dropwizard-metrics/revisions/rev_9db84e4_a61aeec/rev_9db84e4-a61aeec.revisions;0;0;0;0;16
/experiment/projects/dropwizard-metrics/revisions/rev_b55c905_ef35031/rev_b55c905-ef35031.revisions;0;0;0;0;16
/experiment/projects/dropwizard-metrics/revisions/rev_cfef717_7f81c9d/rev_cfef717-7f81c9d.revisions;0;0;0;0;0
/experiment/projects/dropwizard-metrics/revisions/rev_ffc263b_90138a0/rev_ffc263b-90138a0.revisions;0;0;0;0;15
/experiment/projects/dropwizard-metrics/revisions/rev_23d566a_c67b55a/rev_23d566a-c67b55a.revisions;0;0;0;0;0
/experiment/projects/dropwizard-metrics/revisions/rev_9794181_2889e6f/rev_9794181-2889e6f.revisions;0;0;0;0;0
/experiment/projects/dropwizard-metrics/revisions/rev_814e3d2_7daa87e/rev_814e3d2-7daa87e.revisions;0;0;0;0;0
/experiment/projects/dropwizard-metrics/revisions/rev_f188cf9_6c52872/rev_f188cf9-6c52872.revisions;0;0;0;0;0
/experiment/projects/dropwizard-metrics/revisions/rev_860c833_a239ec4/rev_860c833-a239ec4.revisions;0;0;0;0;0
/experiment/projects/dropwizard-metrics/revisions/rev_964ca5c_c82bcb8/rev_964ca5c-c82bcb8.revisions;0;0;0;0;11
/experiment/projects/dropwizard-metrics/revisions/rev_5ae0be7_2cdb528/rev_5ae0be7-2cdb528.revisions;0;0;0;0;33
/experiment/projects/dropwizard-metrics/revisions/rev_542d40d_6be9a7c/rev_542d40d-6be9a7c.revisions;0;0;0;0;48
/experiment/projects/dropwizard-metrics/revisions/rev_ba75328_0e5c17e/rev_ba75328-0e5c17e.revisions;0;0;0;0;0
/experiment/projects/dropwizard-metrics/revisions/rev_72ae2fe_b4868fe/rev_72ae2fe-b4868fe.revisions;0;0;0;0;0
/experiment/projects/dropwizard-metrics/revisions/rev_0ad7f9e_54dfd22/rev_0ad7f9e-54dfd22.revisions;0;0;0;0;20
/experiment/projects/dropwizard-metrics/revisions/rev_54dfd22_433057f/rev_54dfd22-433057f.revisions;0;0;0;0;0
/experiment/projects/dropwizard-metrics/revisions/rev_cf3c5d2_566f903/rev_cf3c5d2-566f903.revisions;0;0;0;0;0
/experiment/projects/dropwizard-metrics/revisions/rev_930807e_5f1a203/rev_930807e-5f1a203.revisions;0;0;0;0;20
/experiment/projects/dropwizard-metrics/revisions/rev_541a15a_ae0008a/rev_541a15a-ae0008a.revisions;0;0;0;0;54
/experiment/projects/dropwizard-metrics/revisions/rev_3fd5ad1_b676150/rev_3fd5ad1-b676150.revisions;0;0;0;0;0
/experiment/projects/dropwizard-metrics/revisions/rev_79baef7_ac9d639/rev_79baef7-ac9d639.revisions;0;0;0;0;0
/experiment/projects/dropwizard-metrics/revisions/rev_7ff41a9_54d7a19/rev_7ff41a9-54d7a19.revisions;0;0;0;0;0
/experiment/projects/dropwizard-metrics/revisions/rev_84e7871_fc81e04/rev_84e7871-fc81e04.revisions;0;0;0;0;21
/experiment/projects/dropwizard-metrics/revisions/rev_277255f_86bbec1/rev_277255f-86bbec1.revisions;0;0;0;0;0
/experiment/projects/dropwizard-metrics/revisions/rev_e8675d8_c60236d/rev_e8675d8-c60236d.revisions;0;0;0;0;110
/experiment/projects/dropwizard-metrics/revisions/rev_5a2c240_dcc8d1d/rev_5a2c240-dcc8d1d.revisions;0;0;0;0;0
/experiment/projects/dropwizard-metrics/revisions/rev_8616c04_f272922/rev_8616c04-f272922.revisions;0;0;0;0;0
/experiment/projects/dropwizard-metrics/revisions/rev_be72796_ae5dd92/rev_be72796-ae5dd92.revisions;0;0;0;0;0
/experiment/projects/dropwizard-metrics/revisions/rev_6c77149_16685f8/rev_6c77149-16685f8.revisions;0;0;0;0;13
/experiment/projects/dropwizard-metrics/revisions/rev_b3e9cdd_73d827d/rev_b3e9cdd-73d827d.revisions;0;0;0;0;9
/experiment/projects/dropwizard-metrics/revisions/rev_3169c19_778a4a7/rev_3169c19-778a4a7.revisions;0;0;0;0;0
/experiment/projects/dropwizard-metrics/revisions/rev_38dca18_d02a121/rev_38dca18-d02a121.revisions;0;0;0;0;0
/experiment/projects/dropwizard-metrics/revisions/rev_bed4375_18f0cd0/rev_bed4375-18f0cd0.revisions;0;0;0;0;26
/experiment/projects/dropwizard-metrics/revisions/rev_53a81c0_c4b2ed3/rev_53a81c0-c4b2ed3.revisions;0;0;0;0;34
/experiment/projects/dropwizard-metrics/revisions/rev_90396fc_8e3c0bf/rev_90396fc-8e3c0bf.revisions;0;0;0;0;89
/experiment/projects/dropwizard-metrics/revisions/rev_954ccfa_ae0ee1d/rev_954ccfa-ae0ee1d.revisions;0;0;0;0;60
/experiment/projects/dropwizard-metrics/revisions/rev_ae0ee1d_4a9ff61/rev_ae0ee1d-4a9ff61.revisions;0;0;0;0;0
/experiment/projects/dropwizard-metrics/revisions/rev_1f8b766_56d3722/rev_1f8b766-56d3722.revisions;0;0;0;0;0
/experiment/projects/dropwizard-metrics/revisions/rev_f9c880d_53f2476/rev_f9c880d-53f2476.revisions;0;0;0;0;0
/experiment/projects/dropwizard-metrics/revisions/rev_edd555c_44abc25/rev_edd555c-44abc25.revisions;0;0;0;0;0
/experiment/projects/dropwizard-metrics/revisions/rev_a24898b_3ee47bd/rev_a24898b-3ee47bd.revisions;0;0;0;0;0
/experiment/projects/dropwizard-metrics/revisions/rev_b2a83ca_d817638/rev_b2a83ca-d817638.revisions;0;0;0;0;0
/experiment/projects/dropwizard-metrics/revisions/rev_39ee209_4a7d6ab/rev_39ee209-4a7d6ab.revisions;0;0;0;0;0
/experiment/projects/dropwizard-metrics/revisions/rev_a91263c_a485fda/rev_a91263c-a485fda.revisions;0;0;0;0;0
/experiment/projects/dropwizard-metrics/revisions/rev_15d21f7_8207069/rev_15d21f7-8207069.revisions;0;0;0;0;0
/experiment/projects/dropwizard-metrics/revisions/rev_eb10e8d_c0462ea/rev_eb10e8d-c0462ea.revisions;0;0;0;0;0
/experiment/projects/dropwizard-metrics/revisions/rev_96db205_aa14c76/rev_96db205-aa14c76.revisions;0;0;0;0;0
/experiment/projects/dropwizard-metrics/revisions/rev_aa14c76_af9e327/rev_aa14c76-af9e327.revisions;0;0;0;0;0
/experiment/projects/dropwizard-metrics/revisions/rev_b650fcf_754fdf7/rev_b650fcf-754fdf7.revisions;0;0;0;0;0
/experiment/projects/dropwizard-metrics/revisions/rev_e97d4cc_9d151f6/rev_e97d4cc-9d151f6.revisions;0;0;0;0;0
/experiment/projects/dropwizard-metrics/revisions/rev_9630727_b2adfec/rev_9630727-b2adfec.revisions;0;0;0;0;0
/experiment/projects/dropwizard-metrics/revisions/rev_fb050b9_36f74a1/rev_fb050b9-36f74a1.revisions;0;0;0;0;0
/experiment/projects/dropwizard-metrics/revisions/rev_e6b6582_a9821e5/rev_e6b6582-a9821e5.revisions;0;0;0;0;0
/experiment/projects/dropwizard-metrics/revisions/rev_a6d1e41_b41e68d/rev_a6d1e41-b41e68d.revisions;0;0;0;0;0
/experiment/projects/dropwizard-metrics/revisions/rev_e0ca0aa_1ca9077/rev_e0ca0aa-1ca9077.revisions;0;0;0;0;18
/experiment/projects/dropwizard-metrics/revisions/rev_d309790_3de6be8/rev_d309790-3de6be8.revisions;0;0;0;0;0
/experiment/projects/dropwizard-metrics/revisions/rev_ab38273_de9928c/rev_ab38273-de9928c.revisions;0;0;0;0;0
/experiment/projects/dropwizard-metrics/revisions/rev_38785df_f63dd4a/rev_38785df-f63dd4a.revisions;0;0;0;0;472
/experiment/projects/dropwizard-metrics/revisions/rev_e1b2efc_2e5dc23/rev_e1b2efc-2e5dc23.revisions;0;0;0;0;0
/experiment/projects/dropwizard-metrics/revisions/rev_8becd50_71678ed/rev_8becd50-71678ed.revisions;0;0;0;0;22
/experiment/projects/dropwizard-metrics/revisions/rev_09890c1_ba7c6a3/rev_09890c1-ba7c6a3.revisions;0;0;0;0;35
/experiment/projects/dropwizard-metrics/revisions/rev_2453bb4_8033a38/rev_2453bb4-8033a38.revisions;0;0;0;0;0
/experiment/projects/dropwizard-metrics/revisions/rev_0595a3b_185d5ef/rev_0595a3b-185d5ef.revisions;0;0;0;0;91
/experiment/projects/dropwizard-metrics/revisions/rev_4c9f9b6_8186c8c/rev_4c9f9b6-8186c8c.revisions;0;0;0;0;0
/experiment/projects/dropwizard-metrics/revisions/rev_759fd0d_41e2118/rev_759fd0d-41e2118.revisions;0;0;0;0;0
/experiment/projects/dropwizard-metrics/revisions/rev_210d7b6_78b7329/rev_210d7b6-78b7329.revisions;0;0;0;0;227
/experiment/projects/dropwizard-metrics/revisions/rev_8d25559_b18eb9b/rev_8d25559-b18eb9b.revisions;0;0;0;0;322
/experiment/projects/dropwizard-metrics/revisions/rev_53d236f_194af4e/rev_53d236f-194af4e.revisions;0;0;0;0;8
/experiment/projects/dropwizard-metrics/revisions/rev_c117776_dc7835f/rev_c117776-dc7835f.revisions;0;0;0;0;0
/experiment/projects/dropwizard-metrics/revisions/rev_a23e795_3e667f8/rev_a23e795-3e667f8.revisions;0;0;0;0;0
/experiment/projects/dropwizard-metrics/revisions/rev_1cb7b18_8b250f7/rev_1cb7b18-8b250f7.revisions;0;0;0;0;0
/experiment/projects/dropwizard-metrics/revisions/rev_b1b45a7_3fea2b0/rev_b1b45a7-3fea2b0.revisions;0;0;0;0;17
/experiment/projects/dropwizard-metrics/revisions/rev_0d01e95_2d0b240/rev_0d01e95-2d0b240.revisions;0;0;0;0;0
/experiment/projects/dropwizard-metrics/revisions/rev_10ccc80_1864384/rev_10ccc80-1864384.revisions;0;0;0;0;0
/experiment/projects/dropwizard-metrics/revisions/rev_3733f22_8d7a3c3/rev_3733f22-8d7a3c3.revisions;0;0;0;0;0
/experiment/projects/dropwizard-metrics/revisions/rev_c0c8be7_b899af7/rev_c0c8be7-b899af7.revisions;0;0;0;0;253
/experiment/projects/dropwizard-metrics/revisions/rev_24e150c_b71acdb/rev_24e150c-b71acdb.revisions;0;0;0;0;0
/experiment/projects/dropwizard-metrics/revisions/rev_7f599fb_4f0f3ab/rev_7f599fb-4f0f3ab.revisions;0;0;0;0;0
/experiment/projects/dropwizard-metrics/revisions/rev_b86b450_2c1e4e0/rev_b86b450-2c1e4e0.revisions;0;0;0;0;6
/experiment/projects/dropwizard-metrics/revisions/rev_811fc42_bee0993/rev_811fc42-bee0993.revisions;0;0;0;0;0
/experiment/projects/dropwizard-metrics/revisions/rev_a7950b2_d8e9c63/rev_a7950b2-d8e9c63.revisions;0;0;0;0;889
/experiment/projects/dropwizard-metrics/revisions/rev_3bb71a7_2ca845b/rev_3bb71a7-2ca845b.revisions;0;0;0;0;56
/experiment/projects/dropwizard-metrics/revisions/rev_8bdd210_4ff25d5/rev_8bdd210-4ff25d5.revisions;0;0;0;0;43
/experiment/projects/dropwizard-metrics/revisions/rev_6bf6614_f2372ec/rev_6bf6614-f2372ec.revisions;0;0;0;0;0
/experiment/projects/dropwizard-metrics/revisions/rev_be5931c_11ca08b/rev_be5931c-11ca08b.revisions;0;0;0;0;0
/experiment/projects/dropwizard-metrics/revisions/rev_95c803d_f7ae0c2/rev_95c803d-f7ae0c2.revisions;0;0;0;0;0
/experiment/projects/dropwizard-metrics/revisions/rev_926377d_0f8ffed/rev_926377d-0f8ffed.revisions;0;0;0;0;0
/experiment/projects/dropwizard-metrics/revisions/rev_c1a4a49_4c853a0/rev_c1a4a49-4c853a0.revisions;0;0;0;0;0
/experiment/projects/dropwizard-metrics/revisions/rev_5408487_33113e5/rev_5408487-33113e5.revisions;0;0;0;0;0
/experiment/projects/dropwizard-metrics/revisions/rev_0257439_cc6147e/rev_0257439-cc6147e.revisions;0;0;0;0;11
/experiment/projects/dropwizard-metrics/revisions/rev_6326c0f_d0a9d03/rev_6326c0f-d0a9d03.revisions;0;0;0;0;0
/experiment/projects/dropwizard-metrics/revisions/rev_a694c86_cf9636d/rev_a694c86-cf9636d.revisions;0;0;0;0;37
/experiment/projects/dropwizard-metrics/revisions/rev_99654aa_8c9a65c/rev_99654aa-8c9a65c.revisions;0;0;0;0;0
/experiment/projects/dropwizard-metrics/revisions/rev_dd3407b_c0949b3/rev_dd3407b-c0949b3.revisions;0;0;0;0;0
/experiment/projects/dropwizard-metrics/revisions/rev_0bdc9af_d8f0e0f/rev_0bdc9af-d8f0e0f.revisions;0;0;0;0;0
/experiment/projects/dropwizard-metrics/revisions/rev_34f6dc1_b1caff5/rev_34f6dc1-b1caff5.revisions;0;0;0;0;0
/experiment/projects/dropwizard-metrics/revisions/rev_568e3e6_50ceaf4/rev_568e3e6-50ceaf4.revisions;0;0;0;0;0
/experiment/projects/dropwizard-metrics/revisions/rev_00c5942_4faedeb/rev_00c5942-4faedeb.revisions;0;0;0;0;0
/experiment/projects/dropwizard-metrics/revisions/rev_78a336b_1dbb452/rev_78a336b-1dbb452.revisions;0;0;0;0;0
/experiment/projects/dropwizard-metrics/revisions/rev_4753886_fc2bd4b/rev_4753886-fc2bd4b.revisions;0;0;0;0;0
/experiment/projects/dropwizard-metrics/revisions/rev_1e7834d_57739fc/rev_1e7834d-57739fc.revisions;0;0;0;0;0
/experiment/projects/dropwizard-metrics/revisions/rev_45b03f6_08622a1/rev_45b03f6-08622a1.revisions;0;0;0;0;0
/experiment/projects/dropwizard-metrics/revisions/rev_59d00cf_2039c5a/rev_59d00cf-2039c5a.revisions;0;0;0;0;0
/experiment/projects/dropwizard-metrics/revisions/rev_537d49e_55cef1d/rev_537d49e-55cef1d.revisions;0;0;0;0;0
/experiment/projects/dropwizard-metrics/revisions/rev_b25a452_d944e9a/rev_b25a452-d944e9a.revisions;0;0;0;0;10
/experiment/projects/dropwizard-metrics/revisions/rev_9c77b60_e9c7b6e/rev_9c77b60-e9c7b6e.revisions;0;0;0;0;10
/experiment/projects/dropwizard-metrics/revisions/rev_a29c81a_c3041c6/rev_a29c81a-c3041c6.revisions;0;0;0;1;63
/experiment/projects/dropwizard-metrics/revisions/rev_c3041c6_7f20cd0/rev_c3041c6-7f20cd0.revisions;0;0;0;0;0
/experiment/projects/dropwizard-metrics/revisions/rev_f7fbe7d_836404f/rev_f7fbe7d-836404f.revisions;0;0;0;0;0
/experiment/projects/dropwizard-metrics/revisions/rev_cebcece_3f01bd7/rev_cebcece-3f01bd7.revisions;0;0;0;0;0
/experiment/projects/dropwizard-metrics/revisions/rev_9693b89_0609cc6/rev_9693b89-0609cc6.revisions;0;0;0;0;0
/experiment/projects/dropwizard-metrics/revisions/rev_2ceabba_f67cee6/rev_2ceabba-f67cee6.revisions;0;0;0;0;0
/experiment/projects/dropwizard-metrics/revisions/rev_116541e_1f1e124/rev_116541e-1f1e124.revisions;0;0;0;0;18
